"","chr","start","end","strand","PAnum","tot_tag","coord","refPAnum","ftr","gene_id","biotype","ftr_start","ftr_end","upstream_id","upstream_start","upstream_end","downstream_id","downstream_start","downstream_end","Amp311_R1","Amp311_R2","Amp311_R3","average"
"7","1",5846,5922,"+",13,34,5895,6,"three_prime_UTR","AT1G01010","protein_coding","5631","5899",NA,NA,NA,NA,NA,NA,1.88179445410084,3.73003056081857,3.8747074595868,3.16217749150207
"13","1",13924,13935,"+",4,27,13926,23,"intergenic","AT1G03987","lncRNA","11372","23121","AT1G03987",11101,11372,"AT1G01040",23121,31227,4.39085372623529,1.01728106204143,6.0273227149128,3.81181916772984
"23","1",31127,31190,"+",17,184,31186,47,"three_prime_UTR","AT1G01040","protein_coding","31080","31227",NA,NA,NA,NA,NA,NA,20.6997389951092,17.4633248983779,20.6651064511296,19.6093901148722
"51","1",74000,74111,"+",35,330,74047,168,"three_prime_UTR","AT1G01160","protein_coding","73884","74096",NA,NA,NA,NA,NA,NA,42.026742808252,34.9266497967557,24.5398139107164,33.8310688385747
"55","1",76647,76709,"+",14,60,76683,16,"three_prime_UTR","AT1G01180","protein_coding","76557","76845",NA,NA,NA,NA,NA,NA,7.52717781640335,6.27323321592214,4.7357535617172,6.17872153134757
"64","1",89687,89851,"+",40,213,89762,29,"intron","AT1G01210","protein_coding","89580","90161",NA,NA,NA,NA,NA,NA,30.1087112656134,23.3974644269529,11.6241223787604,21.7100993571089
"75","1",99188,99243,"+",29,217,99209,30,"three_prime_UTR","AT1G01230","protein_coding","99047","99240",NA,NA,NA,NA,NA,NA,19.445209359042,23.9061049579736,19.373537297934,20.9082838716499
"79","1",101789,101848,"+",20,114,101835,34,"three_prime_UTR","AT1G01240","protein_coding","101679","101840",NA,NA,NA,NA,NA,NA,9.40897227050419,12.7160132755179,10.3325532255648,10.819179590529
"87","1",111444,111647,"+",45,124,111570,12,"three_prime_UTR","AT1G01260","protein_coding","111368","111699",NA,NA,NA,NA,NA,NA,10.0362370885378,12.7160132755179,14.2072606851516,12.3198370164024
"104","1",118587,118717,"+",42,444,118628,209,"three_prime_UTR","AT1G01300","protein_coding","118523","118845",NA,NA,NA,NA,NA,NA,45.1630668984201,52.3899746951336,27.1229522171076,41.5586646035538
"105","1",118755,118786,"+",18,271,118769,95,"three_prime_UTR","AT1G01300","protein_coding","118523","118845",NA,NA,NA,NA,NA,NA,22.5815334492101,27.4665886751186,31.4281827277596,27.1587682840294
"112","1",138046,138162,"+",29,231,138134,82,"three_prime_UTR","AT1G01350","protein_coding","137971","138162",NA,NA,NA,NA,NA,NA,20.6997389951092,23.5670112706264,25.4008600128468,23.2225367595275
"121","1",143158,143195,"+",10,35,143193,10,"three_prime_UTR","AT1G01360","protein_coding","142915","143261",NA,NA,NA,NA,NA,NA,2.50905927213445,3.22139002979786,5.1662766127824,3.63224197157157
"127","1",145590,145656,"+",13,64,145595,28,"three_prime_UTR","AT1G01370","protein_coding","145401","146042",NA,NA,NA,NA,NA,NA,5.0181185442689,6.10368637224857,8.610461021304,6.57742197927383
"144","1",166289,166334,"+",9,30,166291,9,"exon","AT1G01448","lncRNA","165449","166353",NA,NA,NA,NA,NA,NA,3.13632409016806,2.71274949877714,3.8747074595868,3.24126034951067
"161","1",186861,186988,"+",22,100,186949,49,"three_prime_UTR","AT1G01500","protein_coding","186574","187135",NA,NA,NA,NA,NA,NA,9.40897227050419,10.0032637767407,11.1935993276952,10.20194512498
"164","1",189999,190178,"+",40,310,190158,92,"three_prime_UTR","AT1G01510","protein_coding","189837","190472",NA,NA,NA,NA,NA,NA,25.7178575393781,33.5702750473672,30.5671366256292,29.9517564041248
"169","1",192338,192389,"+",16,98,192339,40,"three_prime_UTR","AT1G01520","protein_coding","192107","192436",NA,NA,NA,NA,NA,NA,12.5452963606723,10.681451151435,6.457845765978,9.89486442602842
"174","1",198468,198743,"+",70,379,198600,60,"three_prime_UTR","AT1G01540","protein_coding","198384","198787",NA,NA,NA,NA,NA,NA,37.6358890820168,40.1826019506364,35.3028901873464,37.7071270733332
"180","1",201657,201773,"+",49,636,201719,173,"three_prime_UTR","AT1G01550","protein_coding","201576","201775",NA,NA,NA,NA,NA,NA,63.3537466213949,63.9191600649364,68.0226420683016,65.0985162515443
"184","1",204382,204410,"+",4,35,204383,30,"three_prime_UTR","AT1G01560","protein_coding","204036","204388",NA,NA,NA,NA,NA,NA,1.25452963606723,3.73003056081857,4.7357535617172,3.240104586201
"208","1",230767,230857,"+",18,72,230843,22,"three_prime_UTR","AT1G01630","protein_coding","230676","230979",NA,NA,NA,NA,NA,NA,8.15444263443696,6.10368637224857,9.9020301744996,8.05338639372838
"232","1",266172,266254,"+",19,57,266220,11,"three_prime_UTR","AT1G01710","protein_coding","266030","266324",NA,NA,NA,NA,NA,NA,3.76358890820168,5.59504584122786,7.7494149191736,5.70268322286771
"239","1",269753,269863,"+",29,96,269779,16,"three_prime_UTR","AT1G01720","protein_coding","269515","269819",NA,NA,NA,NA,NA,NA,5.64538336230251,9.66417008939357,12.915691531956,9.4084149945507
"242","1",271913,272065,"+",33,164,272008,48,"three_prime_UTR","AT1G01730","protein_coding","271873","272189",NA,NA,NA,NA,NA,NA,16.3088852688739,15.0896690869479,21.0956295021948,17.4980612860055
"253","1",284159,284232,"+",19,51,284198,20,"three_prime_UTR","AT1G01780","protein_coding","284083","284245",NA,NA,NA,NA,NA,NA,5.0181185442689,6.78187374694286,1.2915691531956,4.36385381480245
"258","1",291021,291138,"+",54,402,291038,71,"three_prime_UTR","AT1G01790","protein_coding","290870","291201",NA,NA,NA,NA,NA,NA,34.4995649918487,42.8953514494136,40.4691668001288,39.2880277471304
"259","1",291165,291200,"+",7,27,291194,17,"three_prime_UTR","AT1G01790","protein_coding","290870","291201",NA,NA,NA,NA,NA,NA,3.76358890820168,1.52592159306214,5.1662766127824,3.48526237134874
"265","1",294965,295098,"+",58,950,295086,249,"three_prime_UTR","AT1G01800","protein_coding","294889","295086",NA,NA,NA,NA,NA,NA,85.3080152525713,90.8771082090343,119.685408196126,98.6235105525771
"280","1",319584,319683,"+",12,41,319658,10,"three_prime_UTR","AT1G01920","protein_coding","319372","319667",NA,NA,NA,NA,NA,NA,1.88179445410084,4.91685846653357,3.8747074595868,3.55778679340707
"282","1",324847,324886,"+",13,56,324857,28,"three_prime_UTR","AT1G01940","protein_coding","324720","324917",NA,NA,NA,NA,NA,NA,5.64538336230251,6.61232690326929,3.4441844085216,5.23396489136447
"283","1",324915,324931,"+",7,143,324916,120,"three_prime_UTR","AT1G01940","protein_coding","324720","324917",NA,NA,NA,NA,NA,NA,10.6635019065714,12.3769195881707,22.8177217064556,15.2860477337326
"285","1",330478,330567,"+",26,73,330513,11,"three_prime_UTR","AT1G01950","protein_coding","330404","330619",NA,NA,NA,NA,NA,NA,5.64538336230251,9.49462324572,3.4441844085216,6.19473033884804
"290","1",340073,340098,"+",13,126,340075,42,"three_prime_UTR","AT1G01970","protein_coding","339906","340088",NA,NA,NA,NA,NA,NA,16.3088852688739,12.2073727444971,12.0546454298256,13.5236344810656
"294","1",347440,347550,"+",21,80,347531,36,"three_prime_UTR","AT1G02000","protein_coding","347357","347603",NA,NA,NA,NA,NA,NA,3.76358890820168,8.98598271469929,9.0409840723692,7.26351856509006
"301","1",352509,352565,"+",13,37,352513,13,"three_prime_UTR","AT1G02010","protein_coding","352198","352545",NA,NA,NA,NA,NA,NA,1.88179445410084,4.40821793551286,3.4441844085216,3.2447322660451
"318","1",386768,386811,"+",20,81,386793,13,"three_prime_UTR","AT1G02080","protein_coding","386683","386847",NA,NA,NA,NA,NA,NA,5.64538336230251,10.681451151435,3.8747074595868,6.73384732444144
"319","1",386846,386865,"+",9,102,386848,53,"three_prime_UTR","AT1G02080","protein_coding","386683","386913",NA,NA,NA,NA,NA,NA,6.27264818033613,12.0378259008236,9.0409840723692,9.11715271784297
"327","1",392771,392831,"+",20,213,392823,33,"intergenic","AT1G02100","protein_coding","392816","392831","AT1G02100",389812,392816,"AT1G02110",392831,395528,18.1906797229748,21.5324491465436,24.5398139107164,21.4209809267449
"329","1",395511,395575,"+",15,82,395531,35,"intergenic","AT1G02110","protein_coding","395528","395689","AT1G02110",392831,395528,"AT1G02120",395689,400001,11.290766724605,8.64688902735214,5.5967996638476,8.51148513860159
"335","1",399838,399955,"+",44,371,399942,127,"three_prime_UTR","AT1G02120","protein_coding","399484","400001",NA,NA,NA,NA,NA,NA,29.4814464475798,35.2657434841029,49.9406739235632,38.2292879517486
"342","1",408587,408705,"+",28,135,408645,28,"five_prime_UTR","AT1G02150","protein_coding","408622","408778",NA,NA,NA,NA,NA,NA,16.9361500869075,13.5637474938857,12.0546454298256,14.1848476702063
